Indonesia,Andap,Alus Sor,Alus Singgih,Alus Mider,Mider
berbicara,ngomong,mapajar,"mabaos, ngandika",,
berbicara kecil,,,,,"krimik,ngrimik"
"berbicara, omong",ngomong,ngeraos,masuara,,
berbunyi gaduh,,,,,"gredeg, ngredeg"
berbunyi gaduh,,,,,"grejeg, ngredeg"
berbunyi seperti roda pedati kering,,,,,kriet-kriet
berbunyi tek-tek,,,,,"kretek, ngretek"
bercampur,"maduk, madukan",,,"aor, macampuh",
"bercanda, tidak tetap pendirian",,,,,ngranyig
"bercerai, terpisah",,,,,"palas, belas"
berdebar-debar,,,,,"kebut, kebut-kebut"
berdenyut,,,,,"kedut, kedut-kedut"
berderung,,,,,"gerung, magerung"
berdetak-detak,,,,,"kebet, kebet-kebet"
"berdiamdiri, hening","siep, mendep",meneng,meneng,,
berdiang di dekat api,,,,,ngidu
berdiri,majujuk,majujuk,ngadeg,,
berdiri,majujuk,ngadeg,ngadeg,,
berebut dengan kekerasan,,,,,"gujeg, magujeg"
berem,berem,,,kanca,
berenang,ngelangi,ngelangi,ngelangi,,
berganti,masalin/maseh,,,magentos,
bergantung,,,,,"glenteng, nglenteng"
bergantung dengan tangan,,,,,"glanting, nglanting"
"bergegas, segera",iju-iju,,,sahasa,
bergelombang,,,,,"gelgel,ikel,inggel"
bergelombang,,,,,"inggel, gelgel"
bergerak ke kiri-kanan,,,,,onyah
bergerak sedikit-dikit,,,,,"kepir, kepir-kepir"
bergerak-gerak,,,,,"egol, ngegol"
bergetar-getar,,,,,kejet-kejet
bergilir,,,,,selegenti
Berguling-guling,,,,,"gliling, ngliling"
"berguling-guling karena gelisah, benci",,,,,"plisah, maplisahan "
berguna,,,,,maguna
berharap keuntungan,,,,,pamrih
"berhasil, bisa","nyidaang, sida",mresidaang,presida,,
berhenti,"mereren, rerenang",mesanekan,"merarian, rarianang",,
"berhenti, beristirahat",mareren,,,"masandekan, marerean",
berhias,"payas, mapayas",,,"iyas, maiyas",
berhubung,,,,,mungpung
"berikan, izinkan",baangin,,,"icenin, lugrayang",
beringin,bingin,,,wandira,
beringin,,,,,bingin
berisi,misi,medaging,magading,,
beristri,makurenan,masomah,marabian,,
berita,kabar,,,gatra,
"berita, pemberitahuan, nasihat",,,,,"warah, pawarah"
"berita, warta",orta,,,"orti, gatra",
beritahukan,"orahang, ngorahang",maturuning,"nguningayang, uningang",,
berjalan,majalan,majalan,mamargi,,
berjalan terus,,,,,"crutcut, nyrutcut"
berjalan-jalan,"glindeng, nglindeng",,,mesesanjan,
berjalin-jalin,,,,,"slingket, paslingket"
"berjangkit, menular, tular, jangkit",ngelalahin,"ngibeh, ngelalah","ngibeh, ngelalah",,
berjanji,majanji,masengketa,masubaya,,
"berkaca,bercermin",,,,,masuluh
berkarisma,renget,merenget,acreng,,
"berkata keras, membentak",,,,,"cegik, nyegik"
"berkata, sebut","sambatang, ngomong","matur, nikaangmabaos",mapajar,,
berkeinginan keras,Saat,,,"sereng, pisereng",
berkejap-kejap mata,,,,,"kijap, kijap-kijap"
berkelahi,,,,,"palu, mapalu"
"berkelahi, bertarung","meiyegan, uyut",magerengan,magerengan,,
"berkelahi, bertengar","iyeg, maiyegan",,,"rebat, marebat",
berkelakuan buruk,,,,,dursila
berkeliling,maileh,maideran,"ileh, maideran",,
berkelip,,,,,"kenyit, makenyit"
berkelit,,,,,"kelid, makelid"
berkembang,,,,,"limbak,nglimbak"
berkerut,,,,,lecek
berkilat,,,,,"kenyah, makenyah"
berkilau,,,,,"kenyor, makenyor"
berkilauan,,,,,dumilah
berkokok,,,,,"ketekok, ngetekok"
berkuasa,,,,,kuasa
berkubang,,,,,"guyang, maguyang"
berkubang,,,,,"kipu, makipu"
berkumpul,mapunduh,,,mapupul,
"berkumpul, putusan",,,,,"rarem, pararem"
berkunjung,madelokan,,,mawida,
berlainan,"endah, pelag",matiostiosan,masiossiosan,,
berlalu diam-diam,,,,,"slibsib, nyelibsib"
berlawanan,,,,,"tungkas, nungkas"
berlubang,,,,,bolong
berludah,makecuh,makecuh,mawiduh,,
"berludah, meludah",makecuh,widuh,widuh,,
berlumpur,"buug, benyek",buug,buug,,
bermacam macam,"endah pelag, soroh soroh",warna warni,warna warni,,
bermain,"mecanda, main",mecanda,mecanda,,
bermaksud,"makeneh, kenehang","memanah, kayunin","mapekayun, manahang",,
"bermaksud, berarti","makeneh, kenehang","mamanah, kayunin",mapikayun,,
bermantra untuk merubah wujud,,,,,"reh, ngereh"
bernama,madan,mawasta,mapesengan,,
bernapas,mangkihan,mangsegan,mangsengan,,
"bernyala, menyala",ngendih,murub,"murub, dumilah",,
"berpakaian, berbusana",mabaju,makuaca,makuaca,,
berpaling muka,,,,,"pengos, memengos"
berpenghasilan,mupah,mapikolih,mapikolih,,
berputar,,,,,"linder,malinder"
"bersama, sama","bareng, bareng, sibarengan","sareng, sareng, sesarengan",sareng,,
bersamaan,,,,,"sriak, masriak"
bersamadengan,"ajak, teken",sarengring,ring,,
"bersantai, jalan-jalan",,,,,"sliah, masliahan"
"berselera, merangsang selera",,,,,"enyud, ngenyudin"
berselisih faham,,,,,singsal
berselisih waktu,,,,,sangsih
bersembunyi,,,,,ngepil
berserakan,,,,,paglantes
berseru keras,,,,,"gelur, ngelur"
bersetubuh,makatuk,,,"makarma, masanggama",
bersih,"kedas, bresihinggas","suci, resik",resik,,
bersih,kedas,,,"bersih, resik",
bersih-bersih,makedas-kedas,,,mareresik,
"bersimpuh, berlutut",,,,,"jlempoh, nyelempoh"
bersin,mebangkis,mabangkis,mebangkis,,
bersin,,,,,bangkes
bersinambungan,,,,,"rentet, marentetan"
bersinar keras,,,,,banteng
bersuami,makurenan,masomah,marabian,,
bersuka-duka,,,,,"sidikara, masidikara"
bertambah,maweweh,,,mawuwuh,
bertambah banyak,,,,,engkad
bertanya,matakon,,,mataken,
bertanya kritis,,,,,cucud
bertemu,"tepuk, ketemu",panggih,pangguh,,
"bertemu, berjumpa",katemu,,,kacunduk,
bertengger,,,,,"tinggah, matinggah"
bertengkar,"mibukan, mauyutan, uyutin",maiyegan,ricu,,
bertengkar,"jugjag, majugjag",,,"rebat, marebat",
berteriak,nyerit,nyerit,ndulame,,
berteriak ketakutan,,,,,geleh
"bertobat, tobat, menyesal",kapok,"selsel, nyesel",nyesel,,
bertubuh tinggi besar,,,,,ganggas
beruap,,,,,"kedus, makedus"
berubah muram,,,,,"klieb, maklieb"
berubah wujud,"sium, masiluman",,,nyuti rupa,
"berubah, mengubah pikiran",,,,,"sliweg, nyliwegang"
berubah-ubah,,,,,obah
"berunding,tukar pikiran",,,,,mawirasa
"beruntung, bahagia, selamat",keagetan,,,"sadia, sadiya",
berusia tua,,,,,wayah
berwarna kotak hitam putih,,,,,poleng
berwibawa,"telek, matelek",,,mawibhawa,
