Indonesia,Andap,Alus Sor,Alus Singgih,Alus Mider,Mider
"kesukaan, kesenangan",kesukan,kasenengan,keledangan,,
kesulitan,pakeweh,,,"pakewuh, pakibeh",
"ketahuan, kentara",,,,,ketara
"ketahui, tahu","tawang, nawang",,,"uningin, uning",
ketakutan,ngeb,,,"ajerih, resres",
ketam,anggapan,anggapan,anggapan,,
"ketam, mengetam, menghaluskan",,,,,"serut, nyerut"
ketela,kesela,,,lambon,
ketela,,,,,"kesela, sela"
ketentuan adat setempat,,,,,sima
keterampilan,katrampilan,,,kawagedan,
ketiak/ketek,sipah,apitan,pesangklepan,,
ketiga,kaping telu,,,kaping tiga,
ketika,dugas,rikala,daweg,,
"ketika itu, kebetulan ",katuju,,,kanjekan,
"ketika, pada saat","dugas, dugen",,,"daweg, rikala",
"ketika, tatkala",sedek,,,risedek,
ketombe,lampah,,,kepur,
"ketua, kepala",klian,,,manggala,
ketuk,,,,,dogdog
ketupat,tipat,,,anaman,
keturunan,katurunan,,,potraka,
keturunan,keturunan,,,sentana,
keturunan,,,,,pretisentana
keturunan,,,,,"totos, totosan"
"keturunan, ahli waris",,,,,sentana
kewajiban,,,,,"sana, sesana"
"kewajiban, tugas",kepatutanayahan,kayogyan,kayogyan,,
"kewalana, kepayahan",,,,,gepe
khabar,"orta, gatra",orti,gatri,,
kharisma,,,,,bawa
kikir,"demit, pripit","demit, pripit","kemit, pripit",,
kikir,,,,,"cupar, demit"
"kikir, pelit",kikir,tatah,tatah,,
"kilat, petir","tatir, ilir",tatit,tatit,,
kipas,kepet,kepet,ilih,,
kipas,,,,,kepet
"kipas, kipas-kipas",,,,,"ilih, ilih-ilih"
"kira, kira",sawetara,sawetara,sawetara,,
"kira, kira, kira, kira, kira",bantas,inganan,sawatara,,
"kira, sangka",kaden,manahang,sengguhang,,
"kira, sangka",kaden,,,sengguh,
kira-kira,"irib, mirib",,,"minat, manawi",
kira-kira,mirib,,,"menawi, minab",
kira-kira,,,,,"ingen, ingenan"
kira-kira,,,,,sawatara
kiri,kebot,"kiwa, kedel",kiwa,,
kiri,tengebot,,,kiwa,
kiri,,,,,"kebot, kiwa"
"kocok, mengocok",,,,,"kocok, ngocok"
kodok,,,,,dongkang
komat-kamit,,,,,"kemik, kemik-kemik"
konon katanya,kone,,,kocap,
kontol,celak,celak,pepurus,,
kopi,,,,,kopi
korban,"korban, caru","carubanten, piduka","carubanten, piduka",,
korban penyucian,caru,,,tawur,
Korek api,"colok, korek",korek,korek,,
korek api,colok,,,korek,
korek api,,,,,colok
kosong,"matalang, puyungsuwung","matalang, puyung",tanmadagingsuniya,,
"kosong, tidak berisi","talang, matalang",,,neenten madaging,
kotak sirih,pabuan,pabuan,"pacanangan, crana",,
kotak-kotak barang dagangan,,,,,craki
kotor,"menyi, daki, dekil",reged,reged,,
kotor,"sebel, kotor, leteh","weci, letuh",letuh,,
kotor,menyi,,,"dekil, kotor",
kotor,,,,,"daki, menyi"
kotor,,,,,"moong,daki"
"kotor, najis",sebel,,,"cuntaka, cemer",
kotoran telinga,tilu,tilu,kilu,,
kreta,cikar,,,kreta,
kuah,kuah,,,kansuh,
"kualat, terkutuk",tulah,,,"langgana, alpaka",
kuali,pangorengan,,,kete-kete,
kuali besar,,,,,jambangan
kuang,tuna,,,kirang,
"kuasa, menguasai",,,,,"wawa, ngwawa"
kuat,"katos, katong",katong,katong,,
kuat,"Siteng, kereng",,,kuat,
kubangan,,,,,blungbang
kuburan,sema,"Setra, tunon",Setra tunon,,
kuburan,sema,,,"setra, tunon",
kuburan yang ditimbuni tanah,,,,,gegumuk
"kuburan, tempat pembakaran mayat",,,,,tunon
"kuburkan, mengubur","tanem, kutang",pendem,pendem,,
kucing,meong,meng,meng,,
kucing,,,,,"meng,meong"
kuda,jaran,kuda,kuda,,
kuda,jaran,,,"kuda, asua, turangga",
kuil,sanggah,pamerajan,perhiangan,,
"kuk, brandalan, nakal",,,,,uga
kuku,kuku,naka,naka,,
"kukuh, lestari, megukuhkan",,,,,"rajeg, ngrajegang"
"kukuh, setia",pageh,,,"langgeng, satia",
"kukuh, teguh iman",taer,,,langgeng,
kulit,kulit,"pemulu, kulit","carma, jina",,
kulit binatang,,,,,blulang
kulit kerang yang besar berbentuk trompe,,,,,sungu
Kulit pohon,babakan,kulittaru,kulittaru,,
kulit tebal pada tangan/kaki,,,,,bubul
"kulit, warna kulit",,,,,pamulu
kumat,,,,,ngentah
kumis,kumis,kumis,"crawis, rawis",,
kumpul,bunbun,,,pupul,
"kumpul, berkumpul","punduh, mapunduh",,,"pupul, mapupul",
kumpulkan,punduhang,,,pupulang,
kumpulkan,tambunang,,,pupulang,
"kumur, berkumur","kemuh, mekemuh",,,"kurah, makurah",
"kuna, lama",,,,,"let, elet"
Kunang-kunangan,,,,,kuneng-kunengan
kunci,sereg,kunci,kunci,,
kuncung,,,,,jambot
kuning,"kuning, gading",jenar,jenar,,
kunir,,,,,kunyit
"kunjung, mengunjungi",,,,,"delok, nelok"
kuno,kuna,kuno,nguni,,
"kupas, mengupas",,,,,"pelut, melut"
kuping,kuping,kuping,karna,,
kurang,kuangan,kirang,kirang,,
kurang,lungsur,,,kirang,
kurang daya rekat,,,,,miah
kurang kuat,,,,,gemba
kurang laku,,,,,udu
kurang lebih,kuang - lebih,,,kurang - langkung,
kurang panjang,"kejok, kejokan",,,"kirang, kirangan",
kurang panjang,kuang,,,"kirang, rarad",
"kurang, tidak penuh",,,,,embuh
Kurban penyucian,,,,,Caru
kursi,"kursi, tegakan",palinggihan,palinggihan,,
"kurung, mengurung ayam",,,,,"kurung, ngurung"
kurungan untuk binatang buas,,,,,krangkeng
"kurungan, penjara",,,,,pangkeng
kurus,berag,berag,kiris,,
kusir,kusir,,,serati,
kutu,kutu,kutu,pepetan,,
kutu,kutu,,,"pepetan, kepitan",
kutu dipakaian,,,,,tuma
"kutuk, mengutuk",,,,,"pastu, mastu"
labu,,,,,waluh
laci,laci,laci,laci,,
lagi,"buin, buwin, bin",malih,"malih, wawanin",,
lagi,buin/biin,,,malih,
lagi dua hari,buinpuan,,,malih kalih rahina,
lagi sebulan,buin abulan,,,malih asasih,
lagi tiga hari,buintelun,,,malih tigang rahina,
lagipula,buina,,,samaliha,
lagu,gending,,,"tembang, gita",
"lagu, nyanyian","kidung, gending, lagu","kidung, gita",wirama,,
lahir,lekad,embas,mijil,,
lain,len,,,"lain, tios, seos",
lain desa,len desa,,,dura desa,
lain negri,len gumi/jagat,,,dura negara,
"lain, beda","len, beda","lian, tios",sios,,
laki-laki,muani,muani,lanang,,
laki-laki,muani,,,"lanang, purusa",
laku jadi,payu,,,durus,
laku terjual,laku,,,durus,
lalai,,,,,tleman
"lalai, kurang greget",,,,,ngelewa
lalang,,,,,ambengan
lalap,,,,,"dilap, nilap"
lalapan,,,,,lalab
lalat,buyung,buyung,buyung,,
lalat,buyung,,,laler,
lalat,,,,,Buyung
"lalu, lantas",lantas,,,raris,
"lalu, lantas",laut,,,raris,
"lalu, lewat",liwat,,,lintang,
"lalu, selanjutnya","lantas, laut",raris,raris,,
lama,makelo,"sue, suwe","sue, lami",,
lama,kuna,,,purwa,
lama,makelo,,,"sue, lami",
lama menunggu,,,,,ngepah
lamar,,,,,padik
lambat,baged,,,alon,
lambat,,,,,kadat
"lambat berbuah, lambat hamil",,,,,del
"lambat, kasep","kasep, kasepan","sepanan, duri2",kasep,,
"lambat, pelan",adeng,,,"lelet, banban, alon",
"lambat, tidak sempat",,,,,"sep, sepanan"
lampin pembabat bayi,,,,,taled
lampu,"sembe, suluh",damar,sundih,,
lampu,sundih,,,suar,
lampu minyak kecil tanpa kaca,,,,,sentir
lampu senter,,,,,pijet
lampu senter,,,,,senter
lancar,lancar,,,antar,
"landai,jalan menurun",,,,,"srengseng, nyrengseng"
"langgar, melanggar",,,,,"purug, murug"
"langgeng, tetap pendirian",,,,,pageh
"langit, surga",langit,"akasa, ambara","akasa, ambara",,
"langkah, melangkah",metindakan,langkah,lakulangkah,,
langkahi,,,,,langkahin
langkat,,,,,lengkat
lantai,bataranlante,pekebatlante,pakebatlante,,
lantai,,,,,bataran
lantaran,"ulih, ulihan",,,"sangkan, sangkaning",
"lantas, lalu",tumuli,,,raris,
"lantas, lalu, sesudah, kemudian","disubane, sasubane ento, lantas","raris, sasampune punika",Wusan punika,,
lapar,layah,seduk,luwe,,
lapar,"seduh, layah",seduk,"seduk, lapa",,
lapar,seduk,seduk,lue,,
lapis dasar dari tebu,,,,,gladag
"lapor, laporkan","lapur, lapurang",,,"sadok, sadokang",
Laporkan,repotin,,,sadokang,
"larang, melarang",,,,,"wara, ngwara"
lari,melaib,mlayu,mlayu,,
lari,"melaib, laib",mlayu,melayu,,
"lari, berlari",,,,,"laib, mlaib"
larikan,,,,,blagandang
laris,lais,,,laris,
latar belakang,dadalar,,,"wiwilan, jalaran",
latar belakang,lantara,,,"jalaran, wiwilan",
latih,,,,,"ajat, uruk"
latih melatih,,,,,"uruk, ngurukang"
laut,pasih,"segara, tasik",segara,,
laut,pasih,,,segara,
lawan,"tungkalikan, lawan",tungkalikan,tungkalikan,,
lawan kata,,,,,"tungkalik, nungkalik"
"lawan, hadapi",lawan,,,"arepin, capala",
"lawan, melawan",,,,,"lawan, nglawan"
lawar,lawar,,,anyang,
"layang, layang",lelayangan,lalayangan,lalayangan,,
"layar, berlayar",,,,,"layar, melayar"
"layu, kusam",,,,,layu
"lazim, lumrah",,,,,ketah
"lazim, terbiasa",lumrah,,,ketah,
lebah,,,,,"kawa, kekawa"
lebah,,,,,nyawan
lebar,"lombeng, linggah",lumbang,"jimbar, limbok",,
lebar,,,,,lombeng
lebar,,,,,"lumbang,lombeng"
lebarnya,lombengne,lumbangne,lumbang,,
lebat,,,,,"meg,emeg, samah"
lebat,,,,,samah
lebat buahnya,,,,,nged
lebih baik,"adenan, ngadenan",,,becikan,
"Lebih baik, lebih bagus","luwungan, melahan",becikan,becikan,,
"lebih, lewat",lebih,,,"langkung, lintang",
lebihbanyak,liunan,akehan,katahan,,
lecet-lecet,,,,,babak
leher,baong,beher,"kanta, gulu",,
leher,baong,"kakolongan, baong","kanta, gulu",,
"lekas berbuah, lekas hamil",,,,,cicih
"lekas, segera","enggal, incol",gelis,gelis,,
lekat melekat,,,,,"ketet, ngetet"
"lekat, melekat",,,,,"deket, madeket"
lekum,batunsalak,batunsalak,slatengan,,
"lelap, tidur lelap",,,,,"leplep, pules leplep"
"lelucon, lucu","banyol, banyolan",banyol,baud,,
lemah,"lemet, kenyihgemba","gemba, lemah",lemet,,
lemah gemulai,,,,,lemuh
lemah lunglai,,,,,lelor
lemah-gemulai,,,,,gelohm magelohan
lemah-lembut,,,,,lemes
lemak,muluk,muluk,muluk,,
lemak,,,,,muluk
lemari,lemari,lemari,lemari,,
"lemas, lembek","halus, megelokan",magelokan,halusmagelokan,,
lembab,,,,,demek
lembaga pengairan,,,,,subak
lembar,,,,,bidang
lempar,,,,,lempag
"lempar, melempar",,,,,"sabat, nyabat"
lengah,nglewa,,,lenga,
lengah,,,,,lenga
"lengah, ceroboh",,,,,ampah
lengan,lengen,asta,"tangan, asta",,
"lengang, tak banyak yang hadir",,,,,ungang
lengkap,genep,,,"jangkep, sregep, tegep",
lengkung,,,,,lengkung
"lentera, lampu","damar, suluh, pijet",sundih,sundih,,
lepas,,,,,keles
lepas,,,,,"leb, ngeleb"
lepas,,,,,lumbar
"lepas, bertentangan",,,,,lempas
"lepas, tanggal",,,,,ketus
"lepas, tinggalkan","lus, elus",,,lukar,
lestarikan ,lestariang,,,werdiang ,
lesung pipi,,,,,sujenan
"letak, meletakan","kejang, ngejang",,,"genah, ngenahang",
"letakkan, taruh",pejang,,,genahang,
letih lesu,lesu,,,kaselon,
lewat,ngaliwatin,langkungin,ngalintang,,
lewat tanpa permisi,,,,,"srengseng, nyrengseng"
liangkubur,gagumuk,gagumuk,gagumuk,,
"liar, ganas","rengas, galak",rengas,rengas,,
"Liat, tidak renyah",,,,,ngales
"licik, susah ditangkap",,,,,celih
"licik, tak jujur",,,,,pekel
licin,,,,,belig
"licin, lancar jalannya",,,,,landeh
"licin, mudah lepas",,,,,kalis
lidah,layah,ilat,lidah,,
lihat,tolih,tinggalin,cingakin,,
lilin,lilin,lilin,lilin,,
lima ,lima,,,lelima,
lima puluh,,,,,seket
lima puluh tiga,seket telu,,,seket tiga,
limapuluh dua,seket dua,,,seket kalih,
limapuluh satu,seket besik,,,seket siki,
limpa,limpa,,,ungsilan,
"lindas, melindas",,,,,"lilig, nglilig"
"lingkar, melingkar",,,,,"lingkeh, malingkehan"
"lingling, keracunan, mabuk",,,,,lengeh
lintah,,,,,lelintah
"lintas, melintas","entas, mentas",,,"lintang, nglintang",
"lintas, melintas, berlalu",,,,,"entas, mentas"
lipat,,,,,"tagel, tagelang"
"lipat, dobel, ganda",nikelpindo,nikelpingkalih,nikelpingkalih,,
"lipat, melipat pakaian",,,,,"tampih, nampih"
lipstik,anci,,,lipstik,
"lirik, melirik",,,,,"Sledet, nyeledet"
"liwat, sangat",,,,,"bas, bes"
"loba, rakus",,,,,rengka
lobang di tembok pekarangan,,,,,sombah
"lolos, pergi menjauh",,,,,"blesat, mlesat"
lompat,,,,,"kecog, ngecos"
lonceng,klenenglonceng,"genta, bajra","genta, bajra",,
longgar,galir,,,,
longgar,,,,,goloh
longsor kecil,,,,,gembid
lontar,,,,,ental
"Lontar,kitab suci",,,,,Cakepan
luar,diwang,,,jaba,
"luar, di luar","sisi, disisi",,,"jaba, ring jaba",
luas,linggah,,,jimbar,
lubang,"bambang, bolong, song",bangbang,bangbang,,
lubang,,,,,song
lubang galian tanah,,,,,bangbang
lucu,"banyol, baud",banyol,"baud, banyol",,
lucu,,,,,"baud, banyol"
ludah,paes,paes,widuh,,
luka,matatu,sida,kanin,,
luka,"tatu,  metatu",sida,kanin,,
luka,,,,,matatu
luka lebar,,,,,emeg
lulur,boreh,,,odak,
lumbang,,,,,"jineng, gelebeg"
lumbung,"jinenggelebeg, klumpu, glebeg, glebek",lumbung,lumbung,,
lumbung padi,,,,,"glebeg, jineng"
lumpang,,,,,lesung
lumpuh,,,,,rumpuh
lumpur,"endut, luluh",endut,endut,,
lumpur,,,,,endut
lunas,,,,,ingas
lupa,engsap,engsap,lali,,
lupa,engsap,,,"lali, lipia",
lurus,,,,,beneng
lurus,,,,,leser
lurus,,,,,sohsoh
"lurus, adil, kukuh",,,,,bajeg
lusa,Biin puan,Malih kalih rahina,Malih kalih rahina,,
lutut,entud,entud,"lentur, jejengku",,
lutut,entud,jengku,jengku,,
maaf,aksama,,,ampura,
mabuk,punyah,punyah,punyah,,
mabuk,punyah,,,moho,
mabuk,,,,,punyah
madu,madu,madu,menyan,,
madu,madu,,,saskara,
madu,,,,,madu
mahal,"mael, mahal",larang,larang,,
mahal,"mael, mahal, maal",mael,mael,,
mahal,,,,,mael
mahkota,gelungan,gelungan,bawa,,
mahkota,,,,,"gelung, gelungan"
mahluk halus,,,,,gamang
mahluk halus,,,,,kala
mahluk halus,,,,,memedi
main musik tradisional,,,,,"gambel, magambel"
"makalah, pergi",,,,,"makalah,magedi"
makan,madaar,nunas,mrayunan,,
makan,"madaar, neda","ngajengang, nunas",ngrayunang,,
Makan apa saja,,,,,"Rapu, Ngrapu"
makan bersama,,,,,"gibung, magibung"
makan oleh raksasa,,,,,"tadah, nadah"
makanan,dadaranpangan,"ajeng, ajengantatedan","rayunan, ajengan",,
makanan,dedaaran,,,"ajengan, bhoga, bojana",
makanan dan minuman,,,,,pangan-kinum
makanan lauk tanpa nasi,,,,,"jambal, nyambal"
makmur dan tenteram,,,,,landuh
"makmur, lancar",lanus,,,suasta,
"maksud, arti","teges, arti",teges,piteges,,
"maksud, tujuan","keneh, tuju","manah, suksemanpikenoh",pakayunan,,
malam,peteng,"wengi, latri",wengi,,
malam,peteng,"wengi, latri","wengi, latri",,
"malam, gelap",peteng,,,"wengi, dalu latri",
"malam, laron",,,,,"dalu, dedalu"
malas,lengit,"males, mayus",mayus,,
malas,,,,,lekig
malas,,,,,"lengit, lekig"
malas,,,,,males
malas,,,,,mayus
malas bangun,,,,,kiul
malu,jengah,"edalem, jengah","erang, jengah",,
malu,"kimud, elek",lek,edalem,,
malu,"kimud, lek",jengah,wirang,,
malu,"koh, kabilbil",kimud,kimud,,
malu,elek,,,kemad,
malu,"lek, elek",,,kemad,
malu sendiri,,,,,congah
"mamah, mengunyah",pakpak,baksa,baksa,,
mampir,singgah,,,simpang,
mampu,mampuh,,,mrasidayang,
"mampu, dapat",nyidang,,,"mrasidayang, prasida",
mana,dija,dija,dija,,
"mana, yang mana","engken, encen",,,"sane, encen",
"mandeg, tidak selesai",nungkak,,,mandeg,
mandi,kayeh,kayeh,masiram,,
mandi,mandus,mandus,masiram,,
mandi,"manjus, kayeh",mesiram,masucian,,
mandi,"manjus, kayeh",masiram,masiram,,
mandul,,,,,bekung
mandul,,,,,jubeng
mangga,poh,,,getas,
manggang,,,,,nguling
manis,manis,legi,legi,,
manis,,,,,manis
manja,,,,,manying
mantra,saa,,,mantra,
mantra ilmu hitam,,,,,pangiwa
mantra kekuatan gaib,,,,,pasupati
"mantra, mengucapkan mantra",,,,,"mantra,mamantra"
mantramnya sakti,,,,,sidi mantra
manusia,jelema,,,"jadma, manusa",
manusia,,,,,"manusia,jadma"
"manusia, orang","manusia, jeleme, jelme",jadma,jadma,,
marah,gedeg,gedeg,"duka, menggah",,
marah,"gedeg, pedih, brangti, besus",duka,bendu,,
marah,pedih,pedih,"bendu, duka",,
marah,,,,,"uel, nguel"
marahi,opak,opak,dukain,,
"marisini, kesini","maija, maemalu",mariki,mariki,,
masadepan,dimanipuane,"benjangan, benjang, pungkur","benjang, pungkur",,
masak,"tasak, wayak",tasak,tasak,,
"masak, matang",lebeng,,,rateng,
masih,enu,kari,kantun,,
masih,enu,kari,kantun,,
masih,enu,,,"kari, kantun",
masih,"nu, enu",,," kari, kantun",
masih muda,,,,,pusuh
"masih murni, suci, belum dipakai",,,,,sukla
masih utuh,,,,,blegeran
Masing-masing,,,,,Soang-soang
masjid,mesjid,mesjid,mesjid,,
masuk,"celep, macelep, susup","ranjing, manjing","seser, ranjing",,
masuk,"celep, macelep",,,"ranjing, ngranjing",
masuk,macelep,,,"manjing, ngeranjing",
masuk,,,,,asuk
masukkan campuran beton,,,,,cor
masukkan tangan ke air,,,,,celeb
masyarakat,masarakat,,,parajana,
"masyur, terkenal",kasub,"lumrah, kajanapuja",kasumbung,,
"masyur, terkenal",,,,,kasub
mata,mata,panyingakan,pangaksian,,
mata kemasukan benda kecil,,,,,sepenan
mata pencaharian,"gina, geginan",,,"swagina, swakarya",
"mata, mata pisau",,,,,"rai, rain tiuk"
matahari,Matan aiai,surya,surya,,
matahari,ai,,,surya,
matahari,matanai,,,"aditya, raditia, surya",
matahari,,,,,surya
matang,lebeng,rateng,"Mateng, rateng",,
matang,,,,,nasak
matang,,,,,"tasak, nasak"
mateng,,,,,lebeng
mati,"mati, lacur","seda, newata, pejah, nyuarga, lampus","padem, mantuk",,
mati tanpa ahli waris,,,,,putung
"mati, meninggal, tewas, gugur",mati,Padem nyuarga,"seda, mantuk, lepas",,
mau,nyak,ngiring,"arsa, kayun",,
mau,nyak,kayun,ledang,,
"mau, bersedia","enyak, nyak",,,"kayun, arsa",
"mau,bersedia",enyak,nyadia,"kayun, arsa",,
mauya,,,,,ukana
"maya,khayal,tidak nyata",,,,,"maya,maya-maya"
mayat,bangke,"sawa, watang",layon,,
mayat,"bangke, watang",watangan,layon,,
mayat,bangke,,,wangke,
mcngangkat anak di atas bahu,,,,,"sunggi, nyunggi"
meja,meja,meja,meja,,
mekar,,,,,kebah
mekar,,,,,kembang
mekar ,,,,,kebah
"melagak, berlagak, sombong","langah, sombong",gedekeneh,agengmanah,,
melalui,"mentasdi, entasin",marginin,ngelintangin,,
melanggar,"tungkas, lempas, piwal",lempasin,langkasin,,
melapisi dengan logam mulia,,,,,"sepuh, nyepuh"
melapor,masadu,,,masadok,
melar,,,,,"uad, mauadan"
melarang,"Sing maang, sing kalugera","tanicena, tankewehin","Nenten ngicen, tan katurin",,
melawan,nglawan,,,nempalin,
melawan,,,,,"pagut, magutin"
melayang,"indang, ngindang",,,mngulayang,
melayat ke rumah orang mati,,,,,"jenuk, mejenukan"
melebur dengan air,,,,,"nyug, ngenyug"
"melecehkan, meremehkan",,,,,pariceda
melekatkan badan pada,,,,,"tlepek, nelepek"
melempar,,,,,"timpug, nimpug"
melengket,,,,,gempel
melepas daun/biji dari tangkainya,,,,,"pupus, muspus"
meletus,,,,,"keplug, makeplug"
melihat,ngiwasin,ngantenang,nyuryanin,,
melihat,ningalin,cingakin,aksinin,,
melihat,ninggalin,ngantenang,nyingakin,,
melihat,nolih,ngeton,nyingakin,,
melihat dengan kepala menjorok,,,,,"dengok, nengok"
melihat tajam,celang,,,tiaksa,
melipat sirih untuk dikunyah,,,,,"tampin, nampin"
"melirik, melihat mereng",,,,,"srere, nyrere"
meloncat,"makecos, makecog",makecog,lumumpat,,
melubangi,,,,,"pongpong, mongpong "
melubangi dengan memutar alat pelubang,,,,,"kiruk, ngiruk"
memainkan kendang,,,,,"gupek, ngupek"
memakai,nganggon,nganggen,nganggen,,
memaki-maki,,,,,"temah, nemah"
memaksa,mlegandang,,,walatkara,
"memaksa, pasrah",,,,,"lalu, nglalu"
memamah,,,,,"pakpak, makpak"
memamah biak,,,,,"ilag, ngilag"
memancar,,,,,mumbul
memancar kencang,,,,,muncrat
memang,,,,,gumanti
memang,,,,,mula
"memanggil, panggil","kaukin, jeritin",nikain,nikain,,
memanggil-manggil,,,,,"atag, ngatag"
memangkas dengan pedagang,,,,,"sempal, nyempal"
memanjat pohon dengan memeluknya,,,,,"pongkod, mongkod "
"memanjat, mendaki",menek,"munggah, menggah, unggah",munggah,,
memansakan dengan api,,,,,"pumpun, munpunin"
"memar, lebam bekas dipukul",,,,,sebuh
memarahi,ngopak,ngopak,nukain,,
memasak,"ngelebengin, melebengan",ratengin,rateng,,
memasak,nyakan,,,ngerateng,
mematuk,,,,,gotol-ngotol
mematuk,,,,,"toltol, noltol"
membabat,,,,,"totor, nototr"
membaca,"paca, waja","waca, bawos, memawos","wacen, ngewacen",,
membaca,maca,,,ngwacen,
membaca,mamaca,,,ngwacen,
membagi,"edum, ngedum",ngepah,bagi,,
membajak,"matekap, nengala",waluku,waluku,,
membajak sawah,,,,,"tekap, matekap"
membakar,"tunjel, puunbasmi",basmigeseng,basmigeseng,,
membakar,,,,,"tunjel, nunjel"
membandingkan,"tanding, mandukang",tanding,tanding,,
membara,,,,,murub
membasuh,,,,,ngingsah
membawa di dada,,,,,brokong
membela,ngawirangin,,,parambela,
membelai-belai dan memeluk,,,,,kupkupang
membeli beras kiloan,,,,,"uup, nguup"
membeli/borong,,,,,"tendak, nendak"
membembam dalam abu panas,,,,,"tambus, nambus"
memberi,"bang, ngicen","wehin, ngaweh","icen, aweh",,
memberi suntikan cacar dengan menoreh,,,,,cukit
memberikan,ngamaang,ngwehin,ngicen,,
memberikan pengampunan dari dosa,,,,,"supat, nyupat"
memberitahukan,ngorahang,nguningang,nguningayang,,
memberitahukan,ngorahin,ngorahin,nganikahin,,
membersihkan,,,,,parisuda
membersihkan pematang,,,,,"tampad, nampadin"
membersihkan rumput,,,,,"kikis, ngiskis"
membongkar sajen,nyurud,,,marid,
membuang ke luar daerah,,,,,"selong, nyelong"
membuat lubang dengan tangan,,,,,"kohkoh, ngohkoh"
membuat pepes,,,,,"pes, epes, ngepes"
"membuat, membikin","gaenang, ngaenang",karyanang,ngarianang,,
membuka,,,,,ngagah
membuka tutupnya,,,,,"sungkab, nyungkabin"
membulatkan pikiran,,,,,"regep, ngregep"
membungkuk,,,,,"eed, ngeed"
membungkuk sedikit,,,,,"ungkuh, ngungkuh"
membungkus,kaputungkus,ungkus,ungkus,,
Membungkus dl ujung kain,,,,,Buntil
membunuh,matiang,pademang,sedaang,,
memegang,"gisi, ngisi",gamel,"gamel, dambel, agem",,
memegang,"agem, ngagem",,,"gambel, ngambel",
memegang dengan gigi,,,,,dangal
memikir,kenehang,manahang,kayunang,,
memikirkan,"kenehin, pinehin","manahin, ngenehang",kayunin,,
memikul barang di dada,,,,,"gosong, ngosong"
memikul dengan genggaman ,,,,,"gebug, ngebug"
memilih,"milihin, gelikin",nyelirngelikin,ngelikin,,
memindahkan,ngisidang,,,ngingsirang,
memindahkan baranng secara berantai,,,,,"unda,ngunda"
meminjam,nyilih,,,nyelang,
meminta,ngidih,nunas,ngarsayang,,
meminta/membeli sebagian,,,,,"tempil, nempil"
memotong pohon di dahan,,,,,"ponggol, monggol "
"memotong, meratakan kayu",,,,,"tabas, nabas"
mempercayai,nyadia,,,misadia,
mempercayai,nyadin,,,ngega,
"memperkenalkan, menyampaikan",,,,,nyinahang
mempersalahkan ,,,,,"upet, ngupet"
mempertanyakan,"lued, ngaluedang",,,"tatas, natasang",
mempunyai daya tarik tersendiri,,,,,melik
"mempunyai, memiliki",ngelah,"madue, maderbe",maderbe,,
memuatkan,muatang,"nagingin, muatang","nagingin, muatang",,
memuja tuhan dari jarak jauh,,,,,"nyawang, ngayat"
memuji,,,,,"puji, muji"
memukul,"jagus, nyagur",jagur,tanganin,,
memukul,"nyagur, nglantig",ngemplangin,nyagur,,
memukul,,,,,"toktok, noktok"
memukul dengan benda memanjang,,,,,"kemplong, ngemplongin"
"memukul dengan tali, lidi, cemeti",,,,,"lambet, nglambet"
memukul dengan telapak tangan,,,,,"tamplak, namplak"
memukul dengan ujung jari,,,,,"gedig, ngedig"
memulai,,,,,buaka
memulai memakai,,,,,"kebah, ngebah"
"memulai, mengulagi",nyumunin,,,"ngawitin, ngwawanin",
memungut sisa-sisa padi,,,,,munuh
"memungut, menagih","duduk, nuduk, nukduk",keniang,keniang,,
memutar kepala sedikit,,,,,"kipek, ngipekang"
"memutar-mutar, pegang ujungnya",,,,,"uyeng, nguyeng"
menahan aliran darah pada luka,,,,,"jampi, nyampi"
menamakan,ngadanin,ngawastanin,marabin,,
menambah,"imbuhin, nanggu","imbuh, wuwuh",wewehin,,
menambah kayu/bambu agar lebih kuat,,,,,"tabeh, nabehin"
menampar dengan kaki,,,,,"tampel, nampel"
menandatangani,"teken, neken",neken,teken,,
menang,menang,polih,polih,,
menang,menang,,,"molih, jaya",
"menangani, mengurus","urus, ngurusang",,,nanganin,
menangis,ngeling,ngeling,nangis,,
menangis,ngelingsigsig,nangis,nangis,,
menangis,ngeling,,,nangis,
menantu,,,,,mantu
menari,ngigel,masolah,masolah,,
menaruh diatas perapian dapur,,,,,"tungguh, nungguhang"
menasehati,"nuturin, mapitutur",mapungu,mapiteket,,
menatap dengan saksama,,,,,"nengneng,nganengneng"
menaungi,,,,,"ungkulih, ngungkulin"
"menawar, tawar, tukarmenukar",,,,,"tawah, metawahan"
mencabik dengan jari tangan,,,,,"gompes, ngompes"
mencapai,"maan, bakatang, tugtug",keniang,mapikolih,,
mencari,"alih, ngalih","rereh, ulati","ruruh, ulati",,
mencari bersama,,,,,maseserep
mencari-cari dengan teliti,,,,,"Siksik, nyiksik"
mencari-cari dengan teliti,,,,,"sliksik, nyeliksik"
"mencat, mengecat",,,,,"pulas, mulas"
"mencatat, catat",nulisang,nyuratang,nyuratang,,
mencedok dengan kedua telapak tangan,,,,,"sangkop, nyangkop"
mencotok dengan paruh,,,,,"cotot, nyotot"
mencret,,,,,mising
mencuci,ngumbah,ngwangsuhin,ngwajikin,,
mencuci,,,,,"umbah, ngumbah"
mencukur halus,,,,,"kuris, nguris"
mencuri,memaling,pandung,pandung,,
"mencuri, pencuri",maling,,,"dusta, mandung",
