dengarkan,dingehang_dingeh,pirengang_piragi_pireng,piragi_rungu
dermawan_berkasihan,bares,sueca_sweca,asunglugraha
destar,udeng,destar,destar
detik,kejep,jebos,abosbos
di,di,ring,ring
di dalam,di tengah,ring jero,ring jero_sajeroning
Di tengah,Di tengah_tengahan,madiya,Ring jero_ringmadiya
Di timur,bedangin,ringkangin,ringwetan
dia,ia,ipun_dane,ida_dayu
diapria,ia,ipun_dane,ida
diatas_atas,duur,ringduur,ringduwur
dibandingkan dengan,padaang teken,bandingang ring,sandingang ring
dibawah,dibaten_baten_beten,disor,ringsor
dibelakang,duri_diuri,ungkur_pungkur,ringungkur
diijinkan,dadi,dados_kalugra,kalugra
dilarang_takboleh,singdadi_singmaan,tandados,tankengin
diluar,diwangan_disisian_dijaba,dijabaan,ringjabayan
dimana,dija,ringdija,ringdija
dimuka_didepan,diaep_diarep,ringarep,ringajeng
dinamakan_disebut,pankus,mapesengan,kawastanin
dinding,dinding_bedeg,dinding,dinding
dingin,dingin,dingin,dingin
dirikan_jadikan_membangun,jujukang_ngewangun,ngadegang,ngawangun
disana_disitu_kesana,ditu_kema,iriki_marika,drika
disebabkan,ngranaang,ngawinang,ngawinang
disini,dini,iriki,deriki
Dua kali,pindo,pingkalih,pingkalih_pingro
duduk,negak,malinggih,malingga
dulang_baki,dulang,dulang,dulang
duluan_dini,pradang,prayapradang,pradang
dusta_bohong,bobab_bobog_nglompang,linyok_ngalinyok,linyok
ekor,ikut,ikuh,ikuh
enak,jaen,enak,becik
enak,jaen_jahen,enak,enakbecik
engkau_kamu_anda,cai_nyai,danejero,ratuiratu
entah,apa,napi,napi
eratkencang,tekek,tekek,tekek
es,es,es,es
famili_sanak saudara,nyama braya,semeton_pasemetonan,semeteon_kulawarga
gabung_sambung,sambung_nyambung_gabung_deketang,Sambung antun,Antun rapetang
gabus_sumbat,tekep,tekep,tekep
gadis_perawan,bajang_deha,truni_anom,anom
gadis_perawan,daha_bajang,anomjejaka,kaniak_anom_jejaka
gagal_kecewa,kado_kuciwa,nandangerang,nandangerang
gaji,upah_gajih,pikolih,pikolih
gambar,gambar_gegambaran,gambar,gambar_patra
ganti,sehin,gentos,gentos
gantung,gantung_ngantung,gantung,gantung
gantungkan,gantungan_ngantungin,engsutang,engsutang
garam,uyah,tasik,tasik
garis,garis,garis,garis
garpu,garpu,garpu,garpu
gatal,genit,gatel,gatel
gelang,gelang_gegelangan,pinggel,pinggel
gelap,peteng,peteng,gelap
gelas,lumur,lumur,lumur
gelisah,uyang,uyang,uyang
gelisah_gugup,uyang_inguh_rengas,resres_osah_sengap,osah
gemetar_goncang,ngejer_ngetor,kumeter,kumeter
gempabumi,linuh,linuh,lindu
gemuk,mokoh_muluk,ebuhweras,ebuh_wibuh
genap_lengkap_sempurna,genep_pepek_seregep,jangkep,jangkep
gendong,gandong_ngandong,pundut,pundut
genting,genteng,genteng,genteng
gereja,gereja,gereja,gereja
gigi,gigi,untu,danta
gigit,gugut_cegut,NULL,NULL
gila,buduh,edan,edan
gudang,kodang,kodang,kodang
gula,gula,gendis,gendis
guna,pikolih_guna,piguna_pikolih,pikinoh
gunting,gunting,NULL,NULL
guntur,kerug_grudug_ketug,kerebek,gereh_guruh
gunung,gunung,gunung,gunung
habiskan,nelahang,nelasang,nelasang
hadapi,marep,majeng,marep
hadir,ada_nekain_tekain_tebengin,wenten_tepekin,ngerauhin_rauhin
hadir,ada_bareng,sareng,wenten
hakim,kerta,kerta,kerta
halaman_pekarangan,tengatah,merajan_tengatah_natah,merajan_tengatah_natah
halangan,taweng,pialang,alang
halangi,likadang,ngentukin_ngerewedin,mialangin
halus_baik,alus,lues,lues
halus_licin,alus_belig,bantaralus,alus
hampir,das_makiken_makire,tambis,tambis
handuk,anduk,cerik_handuk,selendang
hanya,tuah,wantah,kewanten
harap_mengharap_semoga,acep_andelang_cagerang,andelang,andel
harga,aji,pengaji,pengarga
harga_biaya_ongkos,aji_ji,ajine,harga_rega
hari,dina_lemeng,rahina,rahina
hariini,dinajani,ringrahinane_mangkin,Ring rahinane mangkin
harimau,macan,sangmong,sangmong
harum,minyak_nyangluh,harum,wangi
harus_patut_wajib,patut_nyandang,beneh_bantes,patut
haus,bedak,kasatan,kasatan
helai,bidang_lempir_lembar,bidang,lempiran
heran,bengong,angob,angob
heran,ngon_bengong_gawok,angob_kasob,kagawok
hidung,cunguh,irung,ungasan
hidup,idup,urip,nyeneng
hidup_tinggal,idup_nongos_magumi,malinggih,magenah
hijau,gadang,gadang,wilis
hilang,ilang,ical,ical
hitam,selem,ireng,ireng
hufuf,santra,aksara,aksara
hujan,hujan,sabeh,sabeh
hutan,alas,alas,wana
ibu,meme_ibu,biyang,ibu_biyang
ijin,ijin,pamit,pamit_lugra
ijinkan_berikan_beri,baang,wehin,icen
ikan,bepasih,ulamsegara,ulam
ikat,tegul_nalenin,iket,iket
ikat,tegul_didednegul_nalinin,tegulbedbed,banda
ikut_mengikut,tutut_ngetuturi_milu,Mejalann getut_ngetutsaking ungkur,ngetutsakingungkur
ikut serta_mengambil alih,barengin_milu,sarengin,sarengin
indonesia,indonesia,indonesia,indonesia
ingat,ingetteken,elingring,elingring
ingatkan,wangsitang,elingang,elingang
ingin,edot_meledteken,dot,meledang
ini,ene,niki_puniki,puniki
iparlaki,ipahmuani,NULL,ipen
irihati_cemburu,irihati,irikayun,duleg
iris,iyis,iyis,iyis
irissepotong,iyis,iyis,iyis
isap_mengisap,sesep_isap,ngisep,ngisep
isi,isi,daging,pidaging
isi_mengisi,isinin_urugin,dagingin,dagingin
istana,puri,puri,puri
isteri,somah_kurenan,timpal_istri,rabi_istri
istimewa,minakadi_mikadi,utama,utama
itik,bebek,kambangan,NULL
itu,ento,punika,punika
jadi,tulus_payu,durus,NULL
jaga_mengamati,gebag_nyaga,kemit,kemit
jahat,jele,kaon_ala,kaon
jahat,jele,nista,nista
jahit,jait,jait,jait
jalan,jalan_rurung,marga_margi,margi
jalan,jalan_rurung,marga,margi
jam,jamdauh,jamdauh,jamdauh
jam_arloji,jam,jam,jam
janda,balu,rangda,landa
jangan,edada,sampunang,sampunangtandados
janggut,jenggot,janggut_rerawe,cerawis
janin,belingan,bobotan,manik
janji,janji_semaya,sengketa,subaya
jantung,papusuhan_ati,papusuhan,papusuhan
jarang,kapahkapah_langahlangah,arangarang,arangarang
jarijari,jeriji,jeriji,jeriji
jarum,jaum,jaum,jaum
jas_baju,bajujas,kuacajas,kuacajas
jatuh,labuh_ulung,runtuh,runtuh_tiba
jauh,joh,doh_adoh,doh_adoh
jawaban,pesaut,pesaur,pesaur_sahur
jawaban,pesaut,pesaur,NULL
jelek,jele_corah,corah,kaon_durgama
jembatan,kreteg_titi,kereteg_titi,kreteg_titi
jendela,jendela,gendela,gendela
jernih,ening,ening,suci_nirmala
jikalau_jika,yen_yan_yeninglamun,yening,yen_yan
jinak,boh,manuh_monoh,manuh
jiwa,jiwa_atma_jiwatma,NULL,atma
juga,masih_jua,teler,ugi
juga,masih,taler,ugi
jujur_adil,polos,polos_nekenghati,darma
jumlah,gebog_liune,akehidupan,katahipun
jumlah_banyak,liune_liu,kehipun,katahipun
junjung,suun_nyuun,suun,junjung
jurusan_arah,tuju_tetujon,pengapti,pengapti
kabarangin_gosip_kabarburung_isu,orta angin_keper_keperan,ortiangin,kepir_kepiran
kacamata,kacakacamata,kacamata,kacapangsian
kacang tanah,kacang cina,kacang goreng,kacangabutin
kadang kadang,dikenkene_kapah kapah,diasapunapine,NULL
kain_lap_pakaian,kamen_sebet,wastra,wastra
kaitan,sangket,sangket,sangket
kakaklaki,beli_bli,raka,raka
Kakak perempuan,mboknyama,rakaisteri,raka
kakatua_burungnuri,kakatua_kedisnuri_atat,kedisnuri,paksiatat_paksinuri
kakeybuyut,kumpi,kumpi,kumpi
kaki,batis_bais,buntut,cokor_pada
kaki,batis_bais,buntut,cokor
kalah,kaon_kalah,kaon,kaon
kali,jelinjing_tlabah,telabah,telabah
kalimat,lengkara,lengkara,lengkara
kamar_bilik,kamar,kamar,kamar
kamarmandi_pemandian,kayehan,pesiraman,beji
kambing,kambing,kambing,wedus
kampret_kelelawar,cempiit_lelawah,cempiyit_lelawah,cempiyit_lelawah
kanan,tengawan,tengen,tengen
kancing,kancing,pingel,pingel
kandang,badaglogor,kandang,kandang
kandang,bada,kandang,kandang
